country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,,,,,,,,,,,,,,,,,,,1040,982,930,995,1060,1090,1160,1170,1210,1150,1140,1290,1420,1510,1500,1470,1510,1370,1240,1130,1090,970,902,601,432,619,570,527,491,454,427,406,615,704,697,776,799,894,894,1020,1050
Angola,,,,,,,,,,,,,,,,,,,,,2370,2450,2390,2530,2620,2530,2380,2310,2140,2100,2050,2000,1870,1900,1970,1980,1820,1920,2010,1990,1940,1870,1980,1610,1740,1920,2580,2190,2400,2400,2330,2190,2490,2460,2600,3060,3600,4470,4970,5170,5110
Albania,,,,,,,,,,,,,,,,,,,,,2890,2930,2970,3050,3100,3160,3210,3250,3340,3400,3380,3630,3610,3560,3400,3450,3620,3620,3500,3700,3230,2340,2300,2520,2680,2990,3230,3080,2960,3300,3420,3530,3630,4060,4560,4940,5400,5900,6610,6790,6620
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.9k,59.3k,54.3k,57.9k,64.2k,60.8k,59k,56.1k,57.1k,58.4k,59.6k,61.5k,58.6k,57.8k,61.7k,60k,58.4k,60.4k,62.4k,62.6k,65.9k,65.4k,64.2k,61.1k,60.1k
Argentina,5270,5480,5040,5170,5250,5530,5530,5690,5980,5560,6030,6150,6100,5780,6160,6690,6610,6710,6930,7480,7620,7820,7820,7930,8210,8050,7930,8380,7920,8390,8490,7880,7600,7770,7660,7010,7620,7690,7530,6900,6940,7420,7850,8170,8510,8330,8640,9150,9400,9060,8900,8550,7920,8440,8980,9670,10.3k,11k,11.5k,11.6k,12.3k
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610,1720,1920,2030,2040,2210,2300,2520,2840,3190,3480,3940,4450,4970,5500,5630,5250,5410
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,4590,4890,5200,5570,5770,5430,4840,5400,5400,5630,6570,6710,6660,7670,8410,9020,9740,9950,10.8k,11.5k,11.7k,11.7k,11.5k,11.9k,12.9k,12.6k,13.2k,13.3k,13.7k,14.3k,13.9k,14.1k,14.8k,14.2k,15k,15k,16k,17.7k,16.8k,15.2k,14.5k
Australia,13k,13.3k,11.6k,12.9k,13.9k,14.1k,13.6k,13.6k,14.4k,15k,15.2k,14.8k,15.5k,16.3k,17.1k,17.2k,18k,18.7k,19.5k,20.4k,20.7k,20.9k,20.9k,21.4k,19.2k,19.5k,20.1k,20.3k,21.1k,21.4k,21.9k,22.4k,21.8k,22.5k,23.3k,24.2k,24.6k,25.6k,26.1k,26.6k,26.2k,26.3k,27k,27.6k,28.6k,29.5k,30.4k,31.5k,32.8k,33.8k,34.1k,35k,35.8k,37k,37.6k,38.4k,39.3k,40.3k,40.4k,40.8k,41.1k
Austria,6220,6630,6570,6750,7330,8090,8340,8860,9190,9450,10.6k,11.1k,11.2k,11.6k,12.3k,12.6k,13.2k,13.5k,14k,14.8k,15.7k,16.5k,17.5k,18.3k,18.9k,18.9k,19.8k,20.9k,20.5k,22.2k,22.4k,22.4k,22.6k,23.2k,23.4k,24.2k,24.5k,25k,25.8k,26.7k,27.5k,28k,28.1k,28.3k,28.6k,29.4k,29.9k,30.6k,31.7k,32.7k,33.6k,33.8k,34.3k,34.6k,35.2k,36.1k,37.4k,38.8k,39.3k,37.6k,38.6k
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3120,2500,1810,1770,1850,2020,2360,2530,2770,3020,3380,3790,4660,5980,7340,8070,8830,9480
Burundi,,,,,,,,,,,348,291,312,333,327,344,344,379,375,357,441,438,438,460,439,454,487,529,534,514,495,509,518,524,505,547,547,563,568,571,591,604,600,582,536,460,422,403,418,399,389,384,396,378,379,373,376,394,398,396,396
Belgium,7970,8190,8310,8490,8870,9160,9440,9560,9320,9620,10.2k,10.7k,11.2k,11.6k,12.4k,12.6k,13k,13.4k,13.9k,14.8k,15.7k,16.2k,16.9k,18.1k,18.9k,18.4k,19.4k,19.6k,20.1k,20.7k,21.6k,21.1k,21.2k,21k,21.6k,21.9k,22.4k,22.9k,24.2k,25.1k,26.1k,26.4k,26.7k,26.3k,27.2k,27.8k,28.1k,29.1k,29.7k,30.6k,31.7k,31.8k,32k,32.2k,33.3k,33.9k,34.8k,35.9k,36.2k,34.8k,35.6k
Benin,,,,,,,,,,715,745,738,694,715,730,751,758,788,808,832,827,825,887,895,934,860,810,818,781,850,898,913,1120,1030,1030,1070,1120,1050,1040,948,1020,1030,1020,1030,950,1040,1040,1070,1070,1090,1100,1140,1150,1160,1160,1140,1160,1170,1180,1190,1180
Burkina Faso,,,,,,,,,,525,518,451,472,461,464,460,455,488,504,508,511,500,607,570,594,617,592,626,678,675,652,676,676,624,592,635,660,641,657,650,628,665,641,642,640,648,693,719,747,765,753,770,768,797,808,849,877,884,911,897,930
Bangladesh,,,,,,,,,,834,854,786,817,843,799,765,761,675,693,704,745,739,649,649,675,629,658,633,671,682,679,652,645,651,678,690,697,706,713,740,761,778,796,794,829,819,801,854,882,890,908,936,1000,1030,1060,1090,1130,1170,1230,1300,1370
Bulgaria,,,,,,,,,,,,,,,,,,,,,2780,2960,3170,3410,3650,3950,4190,4430,4670,5000,5230,5450,5590,5790,5950,6110,6290,6720,7390,7160,6700,7370,6830,6440,6460,6690,6140,5950,6120,6210,6590,6940,7320,7790,8360,8900,9500,10.2k,10.8k,10.4k,10.6k
Bahrain,,,,,,,,,,,,,,,,,,,,,21.8k,21.8k,23.6k,25.9k,27k,23.1k,30.2k,30.4k,28.5k,28.9k,29.9k,26.3k,22.9k,24.2k,24.6k,18.5k,17.3k,16.7k,17.9k,18.3k,18.2k,19k,20.1k,19.8k,20.2k,19.4k,19.6k,20k,20.8k,19.7k,20.8k,20.8k,22k,21.8k,22k,22k,22.8k,24k,24.6k,23.1k,23.1k
Bahamas,,,,,,,,,,,,,,,,,,,,,22.9k,22.8k,21.5k,22.6k,18.5k,15.5k,15.7k,17.3k,19k,22k,23.4k,21.4k,22.5k,23.3k,25.5k,26.6k,26.6k,26.9k,26.9k,29.1k,28.1k,26.6k,25.3k,24.5k,24.8k,25.8k,26.8k,27.9k,29.6k,30.3k,31.4k,31.7k,32.1k,31.4k,31.4k,32.4k,33.2k,33.3k,32.3k,30.2k,30.1k
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1030,1020,1070,1210,1610,2850,3650,3990,4300,4400,4480,4590,4670,4630,4830,5220,5670,6020,5880,5940
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4710,4230,4330,4990,5280,5680,6150,6820,7280,7690,8220,9180,9800,10.9k,12.1k,12.4k,13.5k
Belize,,,,,,,,,,,,,,,,,,,,,4030,4210,4300,4190,4510,4390,4330,4510,4440,5000,5400,5120,4910,4670,4640,4420,4840,5140,5430,6030,6520,6460,6500,7040,7160,7440,7320,7230,7120,7240,7750,7910,8480,8700,9060,8980,9490,9200,9260,9160,9060
Bermuda,,,,,,,,,,,,,,,,,,,,,24.7k,25.2k,25.6k,25.9k,26.2k,25.9k,27.5k,27.8k,28.4k,30.4k,31.5k,29.9k,31k,31.1k,31.1k,32.2k,33k,34.3k,34.9k,34.6k,33.4k,32.9k,32k,32.8k,33.1k,34k,35k,35.8k,37.6k,37.3k,35k,34.5k,41.9k,42.9k,44.2k,46.1k,48.6k,50.3k,49.8k,45.5k,45.9k
Bolivia,3130,3300,3250,2740,2720,2850,2670,2640,2560,2600,2610,2640,2660,2800,2860,2960,3100,3290,2760,2780,2690,2740,2830,2950,2990,3110,3260,3340,3290,3250,3180,3140,2980,2770,2710,2650,2550,2590,2620,2680,2720,2780,2760,2810,2890,2950,3000,3050,3100,3090,3120,3130,3130,3170,3260,3310,3420,3500,3610,3660,3740
Brazil,1700,1740,1850,1870,1980,2040,2040,2200,2260,2380,2470,2740,2800,2880,2930,3060,3090,3160,3430,3570,3850,4210,4600,5100,5420,5520,6010,6090,6240,6540,6940,6370,6290,5910,6000,6140,6750,6760,6540,6490,6160,6120,6010,6120,6380,6650,6690,6820,6710,6630,6830,6820,6860,6820,7120,7230,7430,7790,8090,7980,8330
Barbados,,,,,,,,,,,16.4k,16.6k,17.1k,16.9k,16.9k,17.6k,18.2k,20.2k,21.5k,24.4k,27.3k,26.6k,26.6k,26.6k,24.5k,26.4k,24k,23.5k,23.6k,24.4k,24.6k,25.1k,22.8k,22.1k,22.2k,22k,23.8k,25.3k,25.7k,26.9k,26.1k,24.7k,22.1k,22.6k,23k,23.6k,23.9k,25.9k,27.2k,28.2k,28.2k,27.1k,26.3k,26.4k,28.2k,28.6k,28.9k,30k,30.1k,28k,28.1k
