country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979M,2.02B,2.14B,2.48B,2.44B,2.49B,2.58B,2.59B,2.53B,2.6B,2.6B,2.75B,2.68B,2.66B,3.04B
Angola,,,,,,,,,,,,,,,,,,,,7.29B,8.59B,9B,10.1B,10.6B,11.3B,11.5B,10.5B,9.95B,10.8B,10.7B,9.76B,8.78B,9.12B,9.11B,9.8B,12.2B,9.91B,11.9B,15.6B,20.3B,26.8B,34.4B,36.9B,44.1B,46.5B,49.3B,57.8B,59.2B,63.2B,64.4B,67.3B
Albania,,,,,,,,,,,,,,,,,,,,,,511M,633M,786M,883M,459M,492M,516M,624M,773M,1.12B,1.15B,1.18B,1.55B,1.6B,2.13B,2.52B,2.97B,4.26B,4.61B,5.44B,6.48B,7.38B,8.65B,8.51B,8.45B,8.52B,9.8B,9.88B,9.56B,10.9B
Argentina,5.89B,6.35B,6.89B,7.37B,7.8B,7.9B,9.5B,11.7B,13.5B,21.2B,27.3B,35.8B,43.8B,46.1B,49.1B,51.2B,52.7B,58.7B,59B,65.5B,62.5B,65.7B,68.6B,64.7B,75.1B,98.8B,111B,128B,142B,152B,150B,153B,148B,163B,168B,131B,119B,121B,130B,134B,127B,143B,140B,150B,154B,177B,182B,226B,278B,282B,254B
Armenia,,,,,,,,,,,,,,,,,,,,,,,,134M,214M,371M,521M,638M,804M,1.02B,1.02B,1.41B,1.72B,2B,2.11B,1.97B,2.14B,3.08B,3.61B,4.93B,6.31B,7.41B,7.64B,8.68B,8.56B,8.83B,9.86B,10.2B,10.7B,11.9B,13.1B
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,35.5M,113M,321M,438M,508M,707M,1.29B,1.59B,1.52B,1.69B,1.94B,2.17B,2.25B,2.8B,3.9B,4.49B,4.55B,7.25B,7.69B,10.8B,10.6B,12.1B,13.3B,14.6B,15.3B,16.2B,15.8B,15.8B
Burundi,15M,13.6M,6.9M,7.78M,9.44M,19.4M,22.4M,47.2M,74.7M,136M,166M,179M,227M,308M,348M,455M,570M,770M,801M,889M,907M,963M,1.03B,1.07B,1.13B,1.16B,1.13B,1.07B,1.12B,1.15B,1.13B,1.09B,1.23B,1.35B,1.36B,1.29B,1.37B,1.41B,1.39B,607M,621M,604M,667M,684M,690M,626M,603M,607M,585M,594M,626M
Benin,43.2M,51.1M,47.3M,90.5M,109M,119M,141M,212M,284M,454M,475M,543M,758M,798M,763M,903M,1.04B,1.24B,1.17B,1.07B,1.11B,1.15B,1.2B,1.27B,1.38B,1.4B,1.38B,1.41B,1.45B,1.5B,1.41B,1.48B,1.62B,1.48B,1.62B,1.56B,660M,903M,998M,1.33B,1.6B,1.86B,1.67B,2B,2.04B,2.17B,2.26B,2.79B,3.59B,3.88B,5.25B
Burkina Faso,20.8M,23.6M,20M,31.1M,47.4M,62.5M,85.3M,164M,263M,295M,330M,328M,352M,398M,410M,511M,640M,828M,845M,717M,834M,967M,1.04B,1.12B,1.14B,1.27B,1.3B,1.31B,1.47B,1.61B,1.45B,1.52B,1.56B,1.76B,1.94B,2.01B,1.14B,1.48B,1.6B,1.94B,2.18B,2.34B,2.59B,2.64B,2.6B,2.68B,2.86B,3.17B,3.32B,3.69B,4.49B
Bangladesh,,,147M,498M,1.26B,1.68B,1.99B,2.33B,2.82B,2.97B,3.8B,4.21B,4.94B,5.35B,5.54B,6.53B,7.91B,9.74B,10.3B,10.7B,12.3B,13B,13.4B,14.1B,15.5B,15.7B,15.2B,14.3B,15.5B,16.4B,15.6B,15B,16.7B,18.4B,19.7B,18.5B,20.2B,21.5B,23.3B,25.4B,26.6B,27B,28.3B,31.5B,32.7B,36B,38.5B,46.8B,52.1B,57.1B,67.7B
